model_name,best_seed,test_acc,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix,best_model_path,metrics_path
cnn1d,42,0.92,0.9038461538461539,0.94,0.9215686274509803,0.9662,"[[90, 10], [6, 94]]",F:\yes_no_classifier_project\model\cnn1d\best_model.pth,F:\yes_no_classifier_project\output\cnn1d\metrics.json
inceptiontime,42,0.92,0.92,0.92,0.92,0.976,"[[92, 8], [8, 92]]",F:\yes_no_classifier_project\model\inceptiontime\best_model.pth,F:\yes_no_classifier_project\output\inceptiontime\metrics.json
convnext1d,42,0.91,0.9183673469387755,0.9,0.9090909090909091,0.9592,"[[92, 8], [10, 90]]",F:\yes_no_classifier_project\model\convnext1d\best_model.pth,F:\yes_no_classifier_project\output\convnext1d\metrics.json
