model,best_seed,best_val_acc,test_acc,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix,no_precision,no_recall,yes_precision,yes_recall,epochs_used,metrics_json,curve_png,cm_png
cnn1d,42,0.89375,0.92,0.9038461538461539,0.94,0.9215686274509803,0.9662,"[[90, 10], [6, 94]]",0.9375,0.9,0.9038461538461539,0.94,49,F:\yes_no_classifier_project\output\cnn1d\metrics.json,F:\yes_no_classifier_project\output\report\figures\cnn1d_training_curve.png,F:\yes_no_classifier_project\output\report\figures\cnn1d_confusion_matrix.png
inceptiontime,42,0.91875,0.92,0.92,0.92,0.92,0.976,"[[92, 8], [8, 92]]",0.92,0.92,0.92,0.92,33,F:\yes_no_classifier_project\output\inceptiontime\metrics.json,F:\yes_no_classifier_project\output\report\figures\inceptiontime_training_curve.png,F:\yes_no_classifier_project\output\report\figures\inceptiontime_confusion_matrix.png
convnext1d,42,0.88125,0.91,0.9183673469387755,0.9,0.9090909090909091,0.9592,"[[92, 8], [10, 90]]",0.9019607843137255,0.92,0.9183673469387755,0.9,61,F:\yes_no_classifier_project\output\convnext1d\metrics.json,F:\yes_no_classifier_project\output\report\figures\convnext1d_training_curve.png,F:\yes_no_classifier_project\output\report\figures\convnext1d_confusion_matrix.png
